id,city_id,timestamp_utc,temperature_c,feels_like_c,humidity,pressure,wind_speed,weather_main,weather_description,raw_json
1,1,2025-11-26T13:49:48,16.68,15.03,24,1019,1.74,Clear,"clear sky","{""coord"": {""lon"": 75.5792, ""lat"": 31.3256}, ""weather"": [{""id"": 800, ""main"": ""Clear"", ""description"": ""clear sky"", ""icon"": ""01n""}], ""base"": ""stations"", ""main"": {""temp"": 289.83, ""feels_like"": 288.18, ""temp_min"": 289.83, ""temp_max"": 289.83, ""pressure"": 1019, ""humidity"": 24, ""sea_level"": 1019, ""grnd_level"": 992}, ""visibility"": 10000, ""wind"": {""speed"": 1.74, ""deg"": 329, ""gust"": 1.86}, ""clouds"": {""all"": 0}, ""dt"": 1764164988, ""sys"": {""country"": ""IN"", ""sunrise"": 1764120882, ""sunset"": 1764158134}, ""timezone"": 19800, ""id"": 1268782, ""name"": ""Jalandhar"", ""cod"": 200}"
2,2,2025-11-26T13:48:09,18.52,17.11,26,1019,1.41,Clear,"clear sky","{""coord"": {""lon"": 77.7, ""lat"": 28.9833}, ""weather"": [{""id"": 800, ""main"": ""Clear"", ""description"": ""clear sky"", ""icon"": ""01n""}], ""base"": ""stations"", ""main"": {""temp"": 291.67, ""feels_like"": 290.26, ""temp_min"": 291.67, ""temp_max"": 291.67, ""pressure"": 1019, ""humidity"": 26, ""sea_level"": 1019, ""grnd_level"": 992}, ""visibility"": 10000, ""wind"": {""speed"": 1.41, ""deg"": 331, ""gust"": 1.45}, ""clouds"": {""all"": 0}, ""dt"": 1764164889, ""sys"": {""country"": ""IN"", ""sunrise"": 1764120085, ""sunset"": 1764157913}, ""timezone"": 19800, ""id"": 1263214, ""name"": ""Meerut"", ""cod"": 200}"
3,3,2025-11-26T13:50:01,15.49,14.19,42,1019,1.91,Clear,"clear sky","{""coord"": {""lon"": 76.7933, ""lat"": 30.7343}, ""weather"": [{""id"": 800, ""main"": ""Clear"", ""description"": ""clear sky"", ""icon"": ""01n""}], ""base"": ""stations"", ""main"": {""temp"": 288.64, ""feels_like"": 287.34, ""temp_min"": 288.64, ""temp_max"": 288.64, ""pressure"": 1019, ""humidity"": 42, ""sea_level"": 1019, ""grnd_level"": 978}, ""visibility"": 10000, ""wind"": {""speed"": 1.91, ""deg"": 24, ""gust"": 1.84}, ""clouds"": {""all"": 0}, ""dt"": 1764165001, ""sys"": {""country"": ""IN"", ""sunrise"": 1764120517, ""sunset"": 1764157916}, ""timezone"": 19800, ""id"": 1274746, ""name"": ""Chandigarh"", ""cod"": 200}"
id,city_id,timestamp_utc,temperature_c,feels_like_c,humidity,pressure,wind_speed,weather_main,weather_description,raw_json
1,1,2025-11-26T13:49:48,16.68,15.03,24,1019,1.74,Clear,"clear sky","{""coord"": {""lon"": 75.5792, ""lat"": 31.3256}, ""weather"": [{""id"": 800, ""main"": ""Clear"", ""description"": ""clear sky"", ""icon"": ""01n""}], ""base"": ""stations"", ""main"": {""temp"": 289.83, ""feels_like"": 288.18, ""temp_min"": 289.83, ""temp_max"": 289.83, ""pressure"": 1019, ""humidity"": 24, ""sea_level"": 1019, ""grnd_level"": 992}, ""visibility"": 10000, ""wind"": {""speed"": 1.74, ""deg"": 329, ""gust"": 1.86}, ""clouds"": {""all"": 0}, ""dt"": 1764164988, ""sys"": {""country"": ""IN"", ""sunrise"": 1764120882, ""sunset"": 1764158134}, ""timezone"": 19800, ""id"": 1268782, ""name"": ""Jalandhar"", ""cod"": 200}"
2,2,2025-11-26T13:48:09,18.52,17.11,26,1019,1.41,Clear,"clear sky","{""coord"": {""lon"": 77.7, ""lat"": 28.9833}, ""weather"": [{""id"": 800, ""main"": ""Clear"", ""description"": ""clear sky"", ""icon"": ""01n""}], ""base"": ""stations"", ""main"": {""temp"": 291.67, ""feels_like"": 290.26, ""temp_min"": 291.67, ""temp_max"": 291.67, ""pressure"": 1019, ""humidity"": 26, ""sea_level"": 1019, ""grnd_level"": 992}, ""visibility"": 10000, ""wind"": {""speed"": 1.41, ""deg"": 331, ""gust"": 1.45}, ""clouds"": {""all"": 0}, ""dt"": 1764164889, ""sys"": {""country"": ""IN"", ""sunrise"": 1764120085, ""sunset"": 1764157913}, ""timezone"": 19800, ""id"": 1263214, ""name"": ""Meerut"", ""cod"": 200}"
3,3,2025-11-26T13:50:01,15.49,14.19,42,1019,1.91,Clear,"clear sky","{""coord"": {""lon"": 76.7933, ""lat"": 30.7343}, ""weather"": [{""id"": 800, ""main"": ""Clear"", ""description"": ""clear sky"", ""icon"": ""01n""}], ""base"": ""stations"", ""main"": {""temp"": 288.64, ""feels_like"": 287.34, ""temp_min"": 288.64, ""temp_max"": 288.64, ""pressure"": 1019, ""humidity"": 42, ""sea_level"": 1019, ""grnd_level"": 978}, ""visibility"": 10000, ""wind"": {""speed"": 1.91, ""deg"": 24, ""gust"": 1.84}, ""clouds"": {""all"": 0}, ""dt"": 1764165001, ""sys"": {""country"": ""IN"", ""sunrise"": 1764120517, ""sunset"": 1764157916}, ""timezone"": 19800, ""id"": 1274746, ""name"": ""Chandigarh"", ""cod"": 200}"
